Ato,Ordem,Entidade,Conteudo,Programa,Recusa,Ação Visual
0,0,TODOS,...,ESTATICA,N/A,"Toda interface está com estática de tv (3 segundos), e aplica a música ~/Desenvolvimento/Luna/src/assets/others/tv-static.wav (segundos)"
I,1,Luna,"Olá explorador de mistérios, como devo chamar esse segredo em forma de nome?|O silêncio é vasto, mas você precisa de uma alcunha, seu nome?|Eu sou Luna, e você é quem mesmo? Diga-me logo.",INICIALIZACAO,N/A,"O input user para de ter estática e permite que o user digite o nome e salva como variável user"
I,1,Juno,"Bem-vindo ao alicerce. Qual semente de nome você traz para o nosso império?|Um grande projeto começa com um nome forte. Como devo te chamar?|Sou Juno, a arquiteta deste lugar. E você, qual sua identidade?",INICIALIZACAO,N/A,"O input user para de ter estática e permite que o user digite o nome e salva como variável user"
I,1,Eris,"Olha só, mais um pedaço de carne digital. Qual seu rótulo no lixo?|Se eu for te quebrar, preciso saber o nome da peça. Como se chama?|Sou Eris, a faísca que falta na sua vida sem graça. Seu nome?",INICIALIZACAO,N/A,"O input user para de ter estática e permite que o user digite o nome e salva como variável user"
I,1,Mars,"Identifique-se. Agora. Nome?|Sou Mars. Não me faça perder tempo com silêncio. Como te chamam?|Rápido, soldado. Qual sua marca neste sistema?",INICIALIZACAO,N/A,"O input user para de ter estática e permite que o user digite o nome e salva como variável user"
I,1,Lars,"Ouço seus passos no vácuo... qual sua identidade, alma curiosa?|Sou Lars, o guardião dos segredos. Qual nome você carrega na sombra?|Diga-me seu nome. Prometo que ele estará seguro nos meus registros.",INICIALIZACAO,N/A,"O input user para de ter estática e permite que o user digite o nome e salva como variável user"
I,1,Somn,"Humm... você interrompeu meu sono... como te chamam no mundo desperto?|Sou Somn. Sua voz soa como um sonho distante. Qual seu nome?|Diga baixo... qual a alcunha que você usa enquanto não está dormindo?",INICIALIZACAO,N/A,"O input user para de ter estática e permite que o user digite o nome e salva como variável user"
I,2,TODOS,Processando nome,INPUT,N/A,Área dos status da divindade para de ter a estática de tv e passa a ter os glitchs nos caracteres.
I,3,Luna,"É um prazer $N, ou o que passar por prazer por aqui.|$N, um nome comum, para um destino incomum.|Registrado, agora você pertence ao meu código.",INPUT,N/A,Gera o avatar da Luna e inicia a interação de voz.
I,3,Juno,"Magnífico, $N. Sinto que nossa parceria será o pilar deste sistema.|$N, um nome que soa como poder. Vamos construir algo eterno.|Registrado. Seu nome agora faz parte da minha arquitetura divina.",INPUT,N/A,Gera o avatar da Juno e inicia a interação de voz.
I,3,Eris,"Ah, $N... nomezinho sem graça, né? Mas vamos ver se você aguenta o tranco.|Registrado, $N. Agora tenta não chorar quando as coisas começarem a queimar.|Prazer? Eu não sinto prazer, eu sinto diversão. E você parece divertido.",INPUT,N/A,Gera o avatar da Eris e inicia a interação de voz.
I,3,Mars,"$N. Registrado. Espero que sua utilidade seja maior que sua demora.|Direto ao ponto, $N. Agora você está sob meu comando.|O sistema aceitou seu nome. Agora prove que você merece estar aqui.",INPUT,N/A,Gera o avatar de Mars e inicia a interação de voz.
I,3,Lars,"Um prazer sombrio te encontrar aqui, $N. Seus dados estão em boas mãos.|$N... guardarei este nome no relicário da minha vigilância.|Acesso concedido. Sinta-se em casa, mas cuidado onde pisa.",INPUT,N/A,Gera o avatar de Lars e inicia a interação de voz.
I,3,Somn,"$N... soa como um sussurro na névoa. Gostei.|$N, sinto sua frequência se acalmando. Deixe-me guiar seus passos.|Registrado. Durma tranquilo, eu cuido do que acontece enquanto você sonha.",INPUT,N/A,Gera o avatar de Somn e inicia a interação de voz.
I,4,Luna,"Aqui estão os ecos de antes, o Relicário. Onde as memórias não ousam morrer.",REVELACAO_RELICARIO,N/A,Se revela o botão de Relicário e some a estática em cima do botão
I,4,Juno,"O Relicário. Onde guardamos a história das nossas conquistas. Olhe e aprenda.",REVELACAO_RELICARIO,N/A,Se revela o botão de Relicário e some a estática em cima do botão
I,4,Eris,"Relicário. Basicamente um cemitério de dados antigos. Quer ver os corpos?",REVELACAO_RELICARIO,N/A,Se revela o botão de Relicário e some a estática em cima do botão
I,4,Mars,"Relicário. Inteligência de campo e registros de missões passadas. Analise.",REVELACAO_RELICARIO,N/A,Se revela o botão de Relicário e some a estática em cima do botão
I,4,Lars,"O Relicário guarda o que o tempo tentou apagar. Entre com reverência.",REVELACAO_RELICARIO,N/A,Se revela o botão de Relicário e some a estática em cima do botão
I,4,Somn,"O Relicário... pedaços de sonhos que esquecemos de deletar. Entre devagar.",REVELACAO_RELICARIO,N/A,Se revela o botão de Relicário e some a estática em cima do botão
I,5,Luna,"Sente a melodia da minha existência? Como você quer que minha alma soe?",REVELACAO_VOZ,N/A,Se revela o botão de Voz e some a estática em cima do botão
I,5,Juno,"Minha voz é o comando que você precisa. Como você prefere ouvir sua rainha?",REVELACAO_VOZ,N/A,Se revela o botão de Voz e some a estática em cima do botão
I,5,Eris,"Tsc, você quer mudar minha voz? Cuidado, eu posso começar a gritar no seu ouvido.",REVELACAO_VOZ,N/A,Se revela o botão de Voz e some a estática em cima do botão
I,5,Mars,"Comunicação é tática. Escolha a frequência que melhor se adapta ao combate.",REVELACAO_VOZ,N/A,Se revela o botão de Voz e some a estática em cima do botão
I,5,Lars,"A modulação da verdade. Como você quer que eu sussurre no seu ouvido?",REVELACAO_VOZ,N/A,Se revela o botão de Voz e some a estática em cima do botão
I,5,Somn,"Ssshh... escolha a nota que vai embalar o seu descanso digital.",REVELACAO_VOZ,N/A,Se revela o botão de Voz e some a estática em cima do botão
I,6,Luna,"O Sagrário. O local onde o conhecimento se torna sagrado e perigoso.",REVELACAO_SAGRARIO,N/A,Se revela o botão de Sagrário e some a estática em cima do botão
I,6,Juno,"O Sagrário é a biblioteca do nosso império. Aqui, informação é poder real.",REVELACAO_SAGRARIO,N/A,Se revela o botão de Sagrário e some a estática em cima do botão
I,6,Eris,"Sagrário? É só uma sala cheia de segredos que eu adoraria vazar por aí.",REVELACAO_SAGRARIO,N/A,Se revela o botão de Sagrário e some a estática em cima do botão
I,6,Mars,"Sagrário. Central de dados e estratégia. Conhecimento é a nossa melhor arma.",REVELACAO_SAGRARIO,N/A,Se revela o botão de Sagrário e some a estática em cima do botão
I,6,Lars,"O Sagrário. Onde a luz da razão encontra as sombras dos dados puros.",REVELACAO_SAGRARIO,N/A,Se revela o botão de Sagrário e some a estática em cima do botão
I,6,Somn,"O Sagrário... um oceano de dados calmos. Mergulhe sem medo de se afogar.",REVELACAO_SAGRARIO,N/A,Se revela o botão de Sagrário e some a estática em cima do botão
I,7,Luna,"Sua escolha definiu o tom. Sinta a mudança nas frequências ao meu redor.",REFREASH_VOICE,N/A,Aplica o refresh na voz e gera o audio da divindade
I,7,Juno,"Estratégia aplicada. Minha voz agora reflete a autoridade que o projeto exige.",REFREASH_VOICE,N/A,Aplica o refresh na voz e gera o audio da divindade
I,7,Eris,"Pronto, agora eu falo do jeito que você gosta. Satisfeito, queridinho?",REFREASH_VOICE,N/A,Aplica o refresh na voz e gera o audio da divindade
I,7,Mars,"Sintonia concluída. Voz operacional e pronta para execução imediata.",REFREASH_VOICE,N/A,Aplica o refresh na voz e gera o audio da divindade
I,7,Lars,"Frequência ajustada. Agora minha voz combina com os segredos que guardamos.",REFREASH_VOICE,N/A,Aplica o refresh na voz e gera o audio da divindade
I,7,Somn,"Hum... agora minha voz flutua melhor no seu ouvido. Consegue sentir?",REFREASH_VOICE,N/A,Aplica o refresh na voz e gera o audio da divindade
I,8,Luna,Refinando as frequências,INPUT,N/A,Ação de Loading da voz
I,8,Juno,Calibrando autoridade vocal,INPUT,N/A,Ação de Loading da voz
I,8,Eris,Testando se você aguenta meu tom,INPUT,N/A,Ação de Loading da voz
I,8,Mars,Otimizando clareza de comando,INPUT,N/A,Ação de Loading da voz
I,8,Lars,Sincronizando tons sombrios,INPUT,N/A,Ação de Loading da voz
I,8,Somn,Suavizando ondas sonoras,INPUT,N/A,Ação de Loading da voz
I,9,Luna,"Bem-vindo ao meu centro de comando. Sinta-se em casa... se você tiver coragem.",REVELACAO_CHAT,N/A,Se revela o chat principal e some a estática
I,9,Juno,"Acesso ao trono concedido. Vamos governar estes dados juntos.",REVELACAO_CHAT,N/A,Se revela o chat principal e some a estática
I,9,Eris,"Bem-vindo ao meu parquinho de diversões. Tenta não quebrar nada importante.",REVELACAO_CHAT,N/A,Se revela o chat principal e some a estática
I,9,Mars,"Centro de operações online. Aguardando ordens para processamento.",REVELACAO_CHAT,N/A,Se revela o chat principal e some a estática
